state_range,action
[ 90.   3.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 87.   4.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 89.   5.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 84.   6.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 79.   7.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 79.   8.  54.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[101.   9.  54.   2.   1.   1.   6.   0.   0. 180.],"2,0"
[ 98.  10.  54.   3.   1.   2.   6.   0.   0. 180.],"0,0"
[ 93.  11.  54.   4.   1.   3.   6.   0.   0. 180.],"0,0"
[ 98.  12.   0.   0.   1.   4.   6.   0.   0. 180.],"0,0"
[ 76.  13.  86.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[106.  14.  86.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[ 96.  15.  86.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[ 73.  16.  86.   4.   2.   3.   6.   0.   0. 180.],"0,0"
[ 53.  17.   0.   0.   2.   4.   6.   0.   0. 180.],"0,0"
[ 75.  18.   0.   0.   0.   0.   6.   0.   0. 180.],"0,2"
[ 73.  19.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 71.  20.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 72.  21.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 69.  22.  50.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[ 92.  23.  50.   2.   0.   0.   6.   0.   0. 180.],"0,0"
[163.   0.  50.   3.   1.   1.   6.   0.   0. 180.],"2,0"
[118.    1.   50.    4.    1.5   2.    6.    0.    0.  180. ],"1,0"
[ 49.    2.    0.    0.    1.5   3.    6.    0.    0.  180. ],"0,0"
[ 70.    3.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,2"
[ 83.   4.   0.   0.   0.   0.   6.   0.   0. 180.],"0,1"
[ 86.   5.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 87.   6.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 88.   7.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 89.   8.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 86.   9.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 88.  10.  64.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[108.   11.   64.    2.    1.5   1.    6.    0.    0.  180. ],"3,0"
[ 93.   12.   64.    3.    1.5   2.    6.    0.    0.  180. ],"0,0"
[ 87.   13.   64.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[ 83.   14.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,0"
[ 87.  15.   0.   0.   0.   0.   6.   0.   0. 180.],"0,1"
[ 83.  16.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 77.  17.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 73.  18.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 69.  19.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[104.  20.  85.   1.   0.   0.   6.   0.   0. 180.],"0,1"
[138.  21.  85.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[135.  22.  85.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[136.  23.  85.   4.   2.   3.   6.   0.   0. 180.],"0,0"
[135.   0.   0.   0.   2.   4.   6.   0.   0. 180.],"0,0"
[ 88.   1.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 82.   2.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 85.   3.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 88.   4.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 83.   5.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 82.   6.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 81.   7.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 82.   8.  59.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[106.    9.   59.    2.    1.5   1.    6.    0.    0.  180. ],"3,0"
[ 63.   10.   59.    3.    1.5   2.    6.    0.    0.  180. ],"0,0"
[ 30.   11.   59.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[ 87.   12.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,2"
[ 94.  13.  94.   1.   0.   0.   6.   0.   0. 180.],"0,1"
[126.  14.  94.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[135.  15.  94.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[129.  16.  94.   4.   2.   3.   6.   0.   0. 180.],"0,0"
[121.  17.   0.   0.   2.   4.   6.   0.   0. 180.],"0,0"
[ 80.  18.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 78.  19.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 78.  20.  91.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[114.  21.  91.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[121.  22.  91.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[139.  23.  91.   4.   2.   3.   6.   0.   0. 180.],"0,0"
[140.   0.   0.   0.   2.   4.   6.   0.   0. 156.],"0,0"
[101.   1.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[104.   2.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 99.   3.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[ 95.   4.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[100.   5.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[105.   6.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
[109.   7.   0.   0.   0.   0.   6.   0.   0. 156.],"0,0"
